SiteName,Site#_JS,Site#_CER,Plot#_JS,Habitat,TagID,Species,Set#,BagLocation,InitialWt_Air,SpConvFactor,InitialDeploy_Date,InitialWt_Oven,InitialNotes,HarvestNo,Harvest_Date,HarvestWt_Oven,HarvestNotes,PropInitMass,Days,Years,SitexHabitatxSp,ID_sihasp,ID
Central Pond,5,7,13&14,wet,1080,BEB,14,3,3.017,0.921439936,11/27/10,2.78,,5,9/30/12,1.401,"unid: ""unid2"" (spA1?)",0.503959683,673,1.843835616,7wetBEB,25,4
Central Pond,5,7,13&14,wet,1081,BEB,14,3,3.016,0.921439936,11/27/10,2.779,,6,9/20/13,0.771,,0.277431653,1028,2.816438356,7wetBEB,25,4
N Durant,7,9,17&18,wet,1097,BEB,17,6,3.032,0.921439936,11/30/10,2.794,extra set,1,4/29/11,2.0721,,0.741676438,150,0.410958904,9wetBEB,26,4
N Durant,7,9,17&18,wet,1098,BEB,17,6,3.002,0.921439936,11/30/10,2.766,extra set,2,5/26/11,1.891,,0.683618504,177,0.484931507,9wetBEB,26,4
N Durant,7,9,17&18,wet,1102,BEB,17,6,3.005,0.921439936,11/30/10,2.769,extra set,3,8/1/11,1.538,,0.555449817,244,0.668493151,9wetBEB,26,4
N Durant,7,9,17&18,wet,1101,BEB,17,6,3.028,0.921439936,11/30/10,2.79,extra set,4,9/27/11,1.721,,0.61681932,301,0.824657534,9wetBEB,26,4
N Durant,7,9,17&18,wet,1100,BEB,17,6,3.002,0.921439936,11/30/10,2.766,extra set,5,10/1/12,1.292,,0.467073034,671,1.838356164,9wetBEB,26,4
N Durant,7,9,17&18,wet,1099,BEB,17,6,3.027,0.921439936,11/30/10,2.789,extra set,6,9/20/13,1.307,,0.468593366,1025,2.808219178,9wetBEB,26,4
Mari Hill,8,10,19&20,dry,7399,DEL,5,9,3.08,0.95004995,11/30/10,2.926,,1,4/29/11,2.2183,,0.758094111,150,0.410958904,10dryDEL,27,5
Mari Hill,8,10,19&20,dry,7394,DEL,5,9,3.015,0.95004995,11/30/10,2.864,,2,5/26/11,2.1217,,0.740713432,177,0.484931507,10dryDEL,27,5
Mari Hill,8,10,19&20,dry,7395,DEL,5,9,3.046,0.95004995,11/30/10,2.894,,3,8/1/11,1.567,,0.541492765,244,0.668493151,10dryDEL,27,5
Mari Hill,8,10,19&20,dry,7398,DEL,5,9,3.016,0.95004995,11/30/10,2.865,,4,9/27/11,1.489,,0.519657167,301,0.824657534,10dryDEL,27,5
Mari Hill,8,10,19&20,dry,7396,DEL,5,9,3.084,0.95004995,11/30/10,2.93,,5,9/30/12,1.189,,0.405808412,670,1.835616438,10dryDEL,27,5
Mari Hill,8,10,19&20,dry,7397,DEL,5,9,3.064,0.95004995,11/30/10,2.911,,6,9/20/13,0.935,,0.321200646,1025,2.808219178,10dryDEL,27,5
S Peterson Marsh,1,1,1&2,dry,7424,DEL,10,2,3.024,0.95004995,11/27/10,2.873,,1,4/29/11,2.3178,,0.806766269,153,0.419178082,1dryDEL,28,5
S Peterson Marsh,1,1,1&2,dry,7429,DEL,10,2,3.058,0.95004995,11/27/10,2.905,,2,5/26/11,2.2764,,0.783546286,180,0.493150685,1dryDEL,28,5
S Peterson Marsh,1,1,1&2,dry,7425,DEL,10,2,3.059,0.95004995,11/27/10,2.906,,3,8/3/11,1.761,,0.605945326,249,0.682191781,1dryDEL,28,5
S Peterson Marsh,1,1,1&2,dry,7428,DEL,10,2,3.062,0.95004995,11/27/10,2.909,,4,9/27/11,1.605,,0.55172595,304,0.832876712,1dryDEL,28,5
S Peterson Marsh,1,1,1&2,dry,7426,DEL,10,2,3.023,0.95004995,11/27/10,2.872,,5,10/2/12,1.192,,0.415041638,675,1.849315068,1dryDEL,28,5
S Peterson Marsh,1,1,1&2,dry,7427,DEL,10,2,3.099,0.95004995,11/27/10,2.944,,6,9/20/13,0.876,,0.29753365,1028,2.816438356,1dryDEL,28,5
Cattle Pond,2,2,3&4,dry,7393,DEL,4,5,3.059,0.95004995,11/27/10,2.906,,1,4/29/11,2.0939,,0.720493423,153,0.419178082,2dryDEL,29,5
Cattle Pond,2,2,3&4,dry,7388,DEL,4,5,3.006,0.95004995,11/27/10,2.856,,2,5/26/11,1.6927,,0.592713172,180,0.493150685,2dryDEL,29,5
Cattle Pond,2,2,3&4,dry,7389,DEL,4,5,3.068,0.95004995,11/27/10,2.915,,3,8/3/11,1.816,,0.623037302,249,0.682191781,2dryDEL,29,5
Cattle Pond,2,2,3&4,dry,7392,DEL,4,5,3.083,0.95004995,11/27/10,2.929,,4,9/27/11,1.713,,0.584840445,304,0.832876712,2dryDEL,29,5
Cattle Pond,2,2,3&4,dry,7391,DEL,4,5,3.048,0.95004995,11/27/10,2.896,,5,10/2/12,1.446,,0.499352112,675,1.849315068,2dryDEL,29,5
Cattle Pond,2,2,3&4,dry,7390,DEL,4,5,3.041,0.95004995,11/27/10,2.889,,6,9/20/13,1.195,,0.413623348,1028,2.816438356,2dryDEL,29,5
N Peterson Marsh,3,3,5&6,dry,7412,DEL,8,5,3.045,0.95004995,11/27/10,2.893,,1,4/29/11,2.2226,,0.768294234,153,0.419178082,3dryDEL,30,5
N Peterson Marsh,3,3,5&6,dry,7417,DEL,8,5,3.066,0.95004995,11/27/10,2.913,,2,5/26/11,2.2098,,0.758637627,180,0.493150685,3dryDEL,30,5
N Peterson Marsh,3,3,5&6,dry,7413,DEL,8,5,3.084,0.95004995,11/27/10,2.93,,3,8/3/11,1.729,,0.590111644,249,0.682191781,3dryDEL,30,5
N Peterson Marsh,3,3,5&6,dry,7414,DEL,8,5,3.076,0.95004995,11/27/10,2.922,,4,9/27/11,1.711,,0.585486976,304,0.832876712,3dryDEL,30,5
N Peterson Marsh,3,3,5&6,dry,7416,DEL,8,5,3.071,0.95004995,11/27/10,2.918,,5,10/2/12,1.266,,0.433917784,675,1.849315068,3dryDEL,30,5
N Peterson Marsh,3,3,5&6,dry,7415,DEL,8,5,3.011,0.95004995,11/27/10,2.861,,6,9/20/13,1.158,,0.404810123,1028,2.816438356,3dryDEL,30,5
N Peterson Marsh,3,4,7&8,dry,7435,DEL,11,5,3.075,0.95004995,11/27/10,2.921,,1,4/29/11,2.4141,,0.826349363,153,0.419178082,4dryDEL,31,5
N Peterson Marsh,3,4,7&8,dry,7430,DEL,11,5,3.027,0.95004995,11/27/10,2.876,,2,5/26/11,1.9761,,0.687147638,180,0.493150685,4dryDEL,31,5
N Peterson Marsh,3,4,7&8,dry,7434,DEL,11,5,3.074,0.95004995,11/27/10,2.92,,3,8/3/11,1.711,,0.585867905,249,0.682191781,4dryDEL,31,5
N Peterson Marsh,3,4,7&8,dry,7431,DEL,11,5,3.012,0.95004995,11/27/10,2.862,,4,9/27/11,1.525,,0.532927875,304,0.832876712,4dryDEL,31,5
N Peterson Marsh,3,4,7&8,dry,7433,DEL,11,5,3.069,0.95004995,11/27/10,2.916,,5,10/2/12,1.405,,0.481873448,675,1.849315068,4dryDEL,31,5
N Peterson Marsh,3,4,7&8,dry,7432,DEL,11,5,3.038,0.95004995,11/27/10,2.886,,6,9/20/13,1.028,,0.356171287,1028,2.816438356,4dryDEL,31,5
Lawrence Strip,4,5,9,dry,7375,DEL,1,4,3.04,0.95004995,11/27/10,2.888,,1,4/29/11,1.9436,,0.672956306,153,0.419178082,5dryDEL,32,5
Lawrence Strip,4,5,9,dry,7370,DEL,1,4,3.077,0.95004995,11/27/10,2.923,,2,5/26/11,2.2406,,0.76646159,180,0.493150685,5dryDEL,32,5
Lawrence Strip,4,5,9,dry,7371,DEL,1,4,3.026,0.95004995,11/27/10,2.875,,3,8/1/11,1.618,,0.562811748,247,0.676712329,5dryDEL,32,5
Lawrence Strip,4,5,9,dry,7374,DEL,1,4,3.051,0.95004995,11/27/10,2.899,,4,9/27/11,1.433,,0.494376187,304,0.832876712,5dryDEL,32,5
Lawrence Strip,4,5,9,dry,7372,DEL,1,4,3.008,0.95004995,11/27/10,2.858,,5,10/1/12,1.285,,0.449654409,674,1.846575342,5dryDEL,32,5
Lawrence Strip,4,5,9,dry,7373,DEL,1,4,3.044,0.95004995,11/27/10,2.892,,6,9/20/13,1.309,,0.452635444,1028,2.816438356,5dryDEL,32,5
Lawrence Strip,4,6,11,dry,7465,DEL,16,7,3.073,0.95004995,11/27/10,2.92,,1,4/29/11,2.5033,,0.857440316,153,0.419178082,6dryDEL,33,5
Lawrence Strip,4,6,11,dry,7460,DEL,16,7,3.039,0.95004995,11/27/10,2.887,,2,5/26/11,2.2112,,0.765862643,180,0.493150685,6dryDEL,33,5
Lawrence Strip,4,6,11,dry,7461,DEL,16,7,3.011,0.95004995,11/27/10,2.861,,3,8/1/11,1.819,,0.635880496,247,0.676712329,6dryDEL,33,5
Lawrence Strip,4,6,11,dry,7462,DEL,16,7,3.072,0.95004995,11/27/10,2.919,,4,9/27/11,1.895,,0.64929426,304,0.832876712,6dryDEL,33,5
Lawrence Strip,4,6,11,dry,7464,DEL,16,7,3,0.95004995,11/27/10,2.85,,5,10/2/12,1.458,,0.51155205,675,1.849315068,6dryDEL,33,5
Lawrence Strip,4,6,11,dry,7463,DEL,16,7,3.039,0.95004995,11/27/10,2.887,,6,9/20/13,1.038,,0.359517648,1028,2.816438356,6dryDEL,33,5
Central Pond,5,7,13&14,dry,7442,DEL,13,5,3.05,0.95004995,11/27/10,2.898,,1,4/29/11,2.0084,,0.693112823,153,0.419178082,7dryDEL,34,5
Central Pond,5,7,13&14,dry,7447,DEL,13,5,3.052,0.95004995,11/27/10,2.9,,2,5/26/11,1.898,,0.65458378,180,0.493150685,7dryDEL,34,5
Central Pond,5,7,13&14,dry,7443,DEL,13,5,3.052,0.95004995,11/27/10,2.9,,3,8/1/11,1.457,,0.502491342,247,0.676712329,7dryDEL,34,5
Central Pond,5,7,13&14,dry,7444,DEL,13,5,3.015,0.95004995,11/27/10,2.864,,4,9/27/11,1.511,,0.527510014,304,0.832876712,7dryDEL,34,5
Central Pond,5,7,13&14,dry,7445,DEL,13,5,3.034,0.95004995,11/27/10,2.882,,5,9/30/12,0.908,,0.315009631,673,1.843835616,7dryDEL,34,5
Central Pond,5,7,13&14,dry,7446,DEL,13,5,3.089,0.95004995,11/27/10,2.935,,6,9/20/13,1.576,"sand present, tried to remove",0.537021738,1028,2.816438356,7dryDEL,34,5
N Durant,7,9,17&18,dry,7477,DEL,18,2,3.051,0.95004995,11/30/10,2.899,,1,4/29/11,2.3942,,0.825984275,150,0.410958904,9dryDEL,35,5
N Durant,7,9,17&18,dry,7472,DEL,18,2,3.061,0.95004995,11/30/10,2.908,,2,5/26/11,2.3276,,0.800384334,177,0.484931507,9dryDEL,35,5
N Durant,7,9,17&18,dry,7476,DEL,18,2,3.031,0.95004995,11/30/10,2.88,,3,8/1/11,1.864,,0.647311812,244,0.668493151,9dryDEL,35,5
N Durant,7,9,17&18,dry,7475,DEL,18,2,3.052,0.95004995,11/30/10,2.9,,4,9/27/11,1.533,,0.528702283,301,0.824657534,9dryDEL,35,5
N Durant,7,9,17&18,dry,7474,DEL,18,2,3.012,0.95004995,11/30/10,2.862,,5,10/1/12,0.96,,0.335482466,671,1.838356164,9dryDEL,35,5
N Durant,7,9,17&18,dry,7473,DEL,18,2,3.071,0.95004995,11/30/10,2.918,,6,9/20/13,0.861,,0.295105223,1025,2.808219178,9dryDEL,35,5
Mari Hill,8,10,19&20,wet,7400,DEL,6,5,3.003,0.95004995,11/30/10,2.853,,1,4/29/11,2.3409,,0.820504732,150,0.410958904,10wetDEL,36,6
Mari Hill,8,10,19&20,wet,7405,DEL,6,5,3.044,0.95004995,11/30/10,2.892,,2,5/26/11,2.0897,,0.722591511,177,0.484931507,10wetDEL,36,6
Mari Hill,8,10,19&20,wet,7404,DEL,6,5,3.005,0.95004995,11/30/10,2.855,,3,8/1/11,1.688,,0.591264122,244,0.668493151,10wetDEL,36,6
Mari Hill,8,10,19&20,wet,7401,DEL,6,5,3.016,0.95004995,11/30/10,2.865,,4,9/27/11,1.146,,0.39995105,301,0.824657534,10wetDEL,36,6
Mari Hill,8,10,19&20,wet,7403,DEL,6,5,3.046,0.95004995,11/30/10,2.894,,5,9/30/12,0.972,,0.335884472,670,1.835616438,10wetDEL,36,6
Mari Hill,8,10,19&20,wet,7402,DEL,6,5,3.09,0.95004995,11/30/10,2.936,,6,9/20/13,0.991,,0.337573802,1025,2.808219178,10wetDEL,36,6
S Peterson Marsh,1,1,1&2,wet,7418,DEL,9,1,3.022,0.95004995,11/27/10,2.871,,1,4/29/11,2.0915,,0.728478887,153,0.419178082,1wetDEL,37,6
S Peterson Marsh,1,1,1&2,wet,7419,DEL,9,1,3,0.95004995,11/27/10,2.85,,2,5/26/11,1.5906,,0.55807592,180,0.493150685,1wetDEL,37,6
S Peterson Marsh,1,1,1&2,wet,7420,DEL,9,1,3.061,0.95004995,11/27/10,2.908,,3,8/3/11,1.019,,0.350400256,249,0.682191781,1wetDEL,37,6
S Peterson Marsh,1,1,1&2,wet,7421,DEL,9,1,3.046,0.95004995,11/27/10,2.894,,4,9/27/11,0.917,,0.316878663,304,0.832876712,1wetDEL,37,6
S Peterson Marsh,1,1,1&2,wet,7422,DEL,9,1,3.095,0.95004995,11/27/10,2.94,,5,10/2/12,1.527,,0.519316288,675,1.849315068,1wetDEL,37,6
S Peterson Marsh,1,1,1&2,wet,7423,DEL,9,1,3.054,0.95004995,11/27/10,2.901,,6,9/20/13,1.217,,0.419445081,1028,2.816438356,1wetDEL,37,6
Cattle Pond,2,2,3&4,wet,7382,DEL,3,4,3.074,0.95004995,11/27/10,2.92,,1,4/29/11,2.3642,,0.809531794,153,0.419178082,2wetDEL,38,6
Cattle Pond,2,2,3&4,wet,7387,DEL,3,4,3.071,0.95004995,11/27/10,2.918,,2,5/26/11,1.8269,,0.626164612,180,0.493150685,2wetDEL,38,6
Cattle Pond,2,2,3&4,wet,7386,DEL,3,4,3.055,0.95004995,11/27/10,2.902,,3,8/3/11,1.568,,0.540242074,249,0.682191781,2wetDEL,38,6
Cattle Pond,2,2,3&4,wet,7383,DEL,3,4,3.055,0.95004995,11/27/10,2.902,,4,9/27/11,1.453,,0.500619728,304,0.832876712,2wetDEL,38,6
Cattle Pond,2,2,3&4,wet,7384,DEL,3,4,3.03,0.95004995,11/27/10,2.879,,5,10/2/12,1.046,,0.363364601,675,1.849315068,2wetDEL,38,6
Cattle Pond,2,2,3&4,wet,7385,DEL,3,4,3.069,0.95004995,11/27/10,2.916,,6,9/20/13,0.927,some roots,0.317933584,1028,2.816438356,2wetDEL,38,6
N Peterson Marsh,3,3,5&6,wet,7406,DEL,7,1,3.015,0.95004995,11/27/10,2.864,,1,4/29/11,2.2504,,0.785644299,153,0.419178082,3wetDEL,39,6
N Peterson Marsh,3,3,5&6,wet,7411,DEL,7,1,3.09,0.95004995,11/27/10,2.936,,2,5/26/11,2.1075,,0.717897869,180,0.493150685,3wetDEL,39,6
N Peterson Marsh,3,3,5&6,wet,7407,DEL,7,1,3.045,0.95004995,11/27/10,2.893,,3,8/3/11,1.689,,0.583842779,249,0.682191781,3wetDEL,39,6
N Peterson Marsh,3,3,5&6,wet,7408,DEL,7,1,3.043,0.95004995,11/27/10,2.891,,4,9/27/11,0.998,,0.345209032,304,0.832876712,3wetDEL,39,6
N Peterson Marsh,3,3,5&6,wet,7409,DEL,7,1,3.009,0.95004995,11/27/10,2.859,,5,10/2/12,0.701,,0.245216331,675,1.849315068,3wetDEL,39,6
N Peterson Marsh,3,3,5&6,wet,7410,DEL,7,1,3.091,0.95004995,11/27/10,2.937,,6,9/20/13,1.071,lots of roots,0.364706939,1028,2.816438356,3wetDEL,39,6
N Peterson Marsh,3,4,7&8,wet,7436,DEL,12,9,3.063,0.95004995,11/27/10,2.91,,1,4/29/11,2.3153,,0.795634919,153,0.419178082,4wetDEL,40,6
N Peterson Marsh,3,4,7&8,wet,7441,DEL,12,9,3.042,0.95004995,11/27/10,2.89,,2,5/26/11,1.9445,,0.672825276,180,0.493150685,4wetDEL,40,6
N Peterson Marsh,3,4,7&8,wet,7437,DEL,12,9,3.048,0.95004995,11/27/10,2.896,,3,8/3/11,1.292,,0.446170767,249,0.682191781,4wetDEL,40,6
N Peterson Marsh,3,4,7&8,wet,7440,DEL,12,9,3.064,0.95004995,11/27/10,2.911,,4,9/27/11,1.362,,0.467888,304,0.832876712,4wetDEL,40,6
N Peterson Marsh,3,4,7&8,wet,7438,DEL,12,9,3.032,0.95004995,11/27/10,2.881,,5,10/2/12,1.221,,0.423877171,675,1.849315068,4wetDEL,40,6
N Peterson Marsh,3,4,7&8,wet,7439,DEL,12,9,3.011,0.95004995,11/27/10,2.861,,6,9/20/13,1.353,,0.472977631,1028,2.816438356,4wetDEL,40,6
Lawrence Strip,4,5,9,wet,7381,DEL,2,4,3.062,0.95004995,11/27/10,2.909,,1,4/29/11,2.2312,,0.766985009,153,0.419178082,5wetDEL,41,6
Lawrence Strip,4,5,9,wet,7376,DEL,2,4,3.094,0.95004995,11/27/10,2.939,,2,5/26/11,2.0769,,0.706559659,180,0.493150685,5wetDEL,41,6
Lawrence Strip,4,5,9,wet,7377,DEL,2,4,3.001,0.95004995,11/27/10,2.851,,3,8/1/11,1.58,,0.554172093,247,0.676712329,5wetDEL,41,6
Lawrence Strip,4,5,9,wet,7380,DEL,2,4,3.088,0.95004995,11/27/10,2.934,,4,9/27/11,1.661,,0.566168759,304,0.832876712,5wetDEL,41,6
Lawrence Strip,4,5,9,wet,7378,DEL,2,4,3.056,0.95004995,11/27/10,2.903,,5,10/1/12,1.271,,0.437769763,674,1.846575342,5wetDEL,41,6
Lawrence Strip,4,5,9,wet,7379,DEL,2,4,3.041,0.95004995,11/27/10,2.889,,6,9/20/13,1.084,,0.375203104,1028,2.816438356,5wetDEL,41,6
Lawrence Strip,4,6,12,wet,7454,DEL,15,5,3.073,0.95004995,11/27/10,2.92,,1,4/29/11,1.9661,,0.673436426,153,0.419178082,6wetDEL,42,6
Lawrence Strip,4,6,12,wet,7455,DEL,15,5,3.033,0.95004995,11/27/10,2.882,,2,5/26/11,1.7011,,0.59035194,180,0.493150685,6wetDEL,42,6
Lawrence Strip,4,6,12,wet,7459,DEL,15,5,3.007,0.95004995,11/27/10,2.857,,3,8/1/11,1.475,,0.516311921,247,0.676712329,6wetDEL,42,6
Lawrence Strip,4,6,12,wet,7458,DEL,15,5,3.005,0.95004995,11/27/10,2.855,,4,9/27/11,1.315,,0.460611564,304,0.832876712,6wetDEL,42,6
Lawrence Strip,4,6,12,wet,7457,DEL,15,5,3.021,0.95004995,11/27/10,2.87,,5,10/2/12,1.094,,0.381171268,675,1.849315068,6wetDEL,42,6
Lawrence Strip,4,6,12,wet,7456,DEL,15,5,3.03,0.95004995,11/27/10,2.879,,6,9/20/13,0.709,holes in litterbag,0.246295891,1028,2.816438356,6wetDEL,42,6
Central Pond,5,7,13&14,wet,7453,DEL,14,5,3.094,0.95004995,11/27/10,2.939,,1,4/29/11,2.0748,,0.70584524,153,0.419178082,7wetDEL,43,6
Central Pond,5,7,13&14,wet,7452,DEL,14,5,3.082,0.95004995,11/27/10,2.928,,2,5/26/11,2.1565,,0.736495993,180,0.493150685,7wetDEL,43,6
Central Pond,5,7,13&14,wet,7451,DEL,14,5,3.051,0.95004995,11/27/10,2.899,,3,8/1/11,1.386,,0.478161476,247,0.676712329,7wetDEL,43,6
Central Pond,5,7,13&14,wet,7448,DEL,14,5,3.011,0.95004995,11/27/10,2.861,,4,9/27/11,1.458,,0.509683212,304,0.832876712,7wetDEL,43,6
Central Pond,5,7,13&14,wet,7449,DEL,14,5,3.073,0.95004995,11/27/10,2.92,,5,9/30/12,0.849,,0.290802871,673,1.843835616,7wetDEL,43,6
Central Pond,5,7,13&14,wet,7450,DEL,14,5,3.051,0.95004995,11/27/10,2.899,,6,9/20/13,0.761,some roots,0.26254032,1028,2.816438356,7wetDEL,43,6
Fish Lake,6,8,15&16,wet,7483,DEL,19,5,3.097,0.95004995,11/27/10,2.942,extra set,1,4/29/11,1.8393,,0.625122205,153,0.419178082,8wetDEL,44,6
Fish Lake,6,8,15&16,wet,7481,DEL,19,5,3.072,0.95004995,11/27/10,2.919,extra set,2,5/26/11,1.5918,,0.545407178,180,0.493150685,8wetDEL,44,6
Fish Lake,6,8,15&16,wet,7478,DEL,19,5,3.023,0.95004995,11/27/10,2.872,extra set,3,8/3/11,1.347,,0.469010979,249,0.682191781,8wetDEL,44,6
Fish Lake,6,8,15&16,wet,7482,DEL,19,5,3.088,0.95004995,11/27/10,2.934,extra set,3,6/28/11,1.588,"collected, weighed, but never ground for CN; early test",0.541285966,213,0.583561644,8wetDEL,44,6
Fish Lake,6,8,15&16,wet,7480,DEL,19,5,3.014,0.95004995,11/27/10,2.863,extra set,4,9/27/11,1.277,,0.445965446,304,0.832876712,8wetDEL,44,6
Fish Lake,6,8,15&16,wet,7479,DEL,19,5,3.023,0.95004995,11/27/10,2.872,extra set,6,9/20/13,0.958,,0.333565344,1028,2.816438356,8wetDEL,44,6
N Durant,7,9,17&18,wet,7466,DEL,17,7,3.076,0.95004995,11/30/10,2.922,,1,4/29/11,2.1461,,0.734373816,150,0.410958904,9wetDEL,45,6
N Durant,7,9,17&18,wet,7467,DEL,17,7,3.033,0.95004995,11/30/10,2.882,,2,5/26/11,1.5428,,0.535415304,177,0.484931507,9wetDEL,45,6
N Durant,7,9,17&18,wet,7471,DEL,17,7,3.044,0.95004995,11/30/10,2.892,,3,8/1/11,1.335,,0.461625911,244,0.668493151,9wetDEL,45,6
N Durant,7,9,17&18,wet,7468,DEL,17,7,3.014,0.95004995,11/30/10,2.863,,4,9/27/11,1.202,,0.41977327,301,0.824657534,9wetDEL,45,6
N Durant,7,9,17&18,wet,7470,DEL,17,7,3.068,0.95004995,11/30/10,2.915,,5,10/1/12,0.925,,0.317351049,671,1.838356164,9wetDEL,45,6
N Durant,7,9,17&18,wet,7469,DEL,17,7,3.066,0.95004995,11/30/10,2.913,,6,9/20/13,0.897,some roots,0.307945494,1025,2.808219178,9wetDEL,45,6
Mari Hill,8,10,19&20,dry,7556,DIS,5,5,3.017,0.927470356,11/30/10,2.798,,1,4/29/11,2.3673,,0.846014781,150,0.410958904,10dryDIS,46,7
Mari Hill,8,10,19&20,dry,7561,DIS,5,5,3.049,0.927470356,11/30/10,2.828,,2,5/26/11,2.3419,,0.828153582,177,0.484931507,10dryDIS,46,7
Mari Hill,8,10,19&20,dry,7560,DIS,5,5,3.091,0.927470356,11/30/10,2.867,,3,8/1/11,1.978,,0.689965292,244,0.668493151,10dryDIS,46,7
Mari Hill,8,10,19&20,dry,7557,DIS,5,5,3.054,0.927470356,11/30/10,2.832,,4,9/27/11,1.837,,0.648544956,301,0.824657534,10dryDIS,46,7
Mari Hill,8,10,19&20,dry,7559,DIS,5,5,3.062,0.927470356,11/30/10,2.84,,5,9/30/12,1.375,,0.484169552,670,1.835616438,10dryDIS,46,7
Mari Hill,8,10,19&20,dry,7558,DIS,5,5,3.021,0.927470356,11/30/10,2.802,,6,9/20/13,1.409,,0.502875214,1025,2.808219178,10dryDIS,46,7
S Peterson Marsh,1,1,1&2,dry,7586,DIS,10,10,3.084,0.927470356,11/27/10,2.86,,1,4/29/11,2.3434,,0.819279369,153,0.419178082,1dryDIS,47,7
S Peterson Marsh,1,1,1&2,dry,7591,DIS,10,10,3.073,0.927470356,11/27/10,2.85,,2,5/26/11,2.2148,,0.777091068,180,0.493150685,1dryDIS,47,7
S Peterson Marsh,1,1,1&2,dry,7587,DIS,10,10,3.069,0.927470356,11/27/10,2.846,,3,8/3/11,2.039,,0.71634181,249,0.682191781,1dryDIS,47,7
S Peterson Marsh,1,1,1&2,dry,7590,DIS,10,10,3.078,0.927470356,11/27/10,2.855,,4,9/27/11,1.865,,0.653296277,304,0.832876712,1dryDIS,47,7
S Peterson Marsh,1,1,1&2,dry,7588,DIS,10,10,3,0.927470356,11/27/10,2.782,,5,10/2/12,1.608,,0.577916045,675,1.849315068,1dryDIS,47,7
S Peterson Marsh,1,1,1&2,dry,7589,DIS,10,10,3.069,0.927470356,11/27/10,2.846,,6,9/20/13,1.448,,0.508711594,1028,2.816438356,1dryDIS,47,7
Cattle Pond,2,2,3&4,dry,7555,DIS,4,3,3.008,0.927470356,11/27/10,2.79,,1,4/29/11,2.2906,,0.821053368,153,0.419178082,2dryDIS,48,7
Cattle Pond,2,2,3&4,dry,7550,DIS,4,3,3.073,0.927470356,11/27/10,2.85,,2,5/26/11,2.224,,0.780319006,180,0.493150685,2dryDIS,48,7
Cattle Pond,2,2,3&4,dry,7551,DIS,4,3,3.06,0.927470356,11/27/10,2.838,,3,8/3/11,2.03,,0.715277517,249,0.682191781,2dryDIS,48,7
Cattle Pond,2,2,3&4,dry,7554,DIS,4,3,3.051,0.927470356,11/27/10,2.83,,4,9/27/11,1.03,,0.363994633,304,0.832876712,2dryDIS,48,7
Cattle Pond,2,2,3&4,dry,7553,DIS,4,3,3.013,0.927470356,11/27/10,2.794,,5,10/2/12,1.031,,0.368943188,675,1.849315068,2dryDIS,48,7
Cattle Pond,2,2,3&4,dry,7552,DIS,4,3,3.054,0.927470356,11/27/10,2.832,,6,9/20/13,1.503,"sand present, tried to remove",0.530627692,1028,2.816438356,2dryDIS,48,7
N Peterson Marsh,3,3,5&6,dry,7574,DIS,8,4,3.079,0.927470356,11/27/10,2.856,,1,4/29/11,2.3596,,0.826282702,153,0.419178082,3dryDIS,49,7
N Peterson Marsh,3,3,5&6,dry,7579,DIS,8,4,3.012,0.927470356,11/27/10,2.794,,2,5/26/11,2.2593,,0.808758573,180,0.493150685,3dryDIS,49,7
N Peterson Marsh,3,3,5&6,dry,7575,DIS,8,4,3.014,0.927470356,11/27/10,2.795,,3,8/3/11,1.928,,0.689705587,249,0.682191781,3dryDIS,49,7
N Peterson Marsh,3,3,5&6,dry,7576,DIS,8,4,3.04,0.927470356,11/27/10,2.82,,4,9/27/11,1.84,,0.652595691,304,0.832876712,3dryDIS,49,7
N Peterson Marsh,3,3,5&6,dry,7578,DIS,8,4,3.018,0.927470356,11/27/10,2.799,,5,10/2/12,1.686,,0.602335275,675,1.849315068,3dryDIS,49,7
N Peterson Marsh,3,3,5&6,dry,7577,DIS,8,4,3.05,0.927470356,11/27/10,2.829,,6,9/20/13,1.536,,0.542989384,1028,2.816438356,3dryDIS,49,7
N Peterson Marsh,3,4,7&8,dry,7593,DIS,11,11,3.021,0.927470356,11/27/10,2.802,,1,4/29/11,2.2996,,0.820732322,153,0.419178082,4dryDIS,50,7
N Peterson Marsh,3,4,7&8,dry,7597,DIS,11,11,3.029,0.927470356,11/27/10,2.809,,2,5/26/11,2.1869,,0.778448012,180,0.493150685,4dryDIS,50,7
N Peterson Marsh,3,4,7&8,dry,7592,DIS,11,11,3.045,0.927470356,11/27/10,2.824,,3,8/3/11,1.982,,0.70180477,249,0.682191781,4dryDIS,50,7
N Peterson Marsh,3,4,7&8,dry,7596,DIS,11,11,3.035,0.927470356,11/27/10,2.815,,4,9/27/11,1.911,,0.678893975,304,0.832876712,4dryDIS,50,7
N Peterson Marsh,3,4,7&8,dry,7594,DIS,11,11,3.09,0.927470356,11/27/10,2.866,,5,10/2/12,1.536,,0.535960395,675,1.849315068,4dryDIS,50,7
N Peterson Marsh,3,4,7&8,dry,7595,DIS,11,11,3.011,0.927470356,11/27/10,2.793,,6,9/20/13,1.608,,0.575804761,1028,2.816438356,4dryDIS,50,7
Lawrence Strip,4,5,9,dry,7537,DIS,1,6,3.053,0.927470356,11/27/10,2.832,,1,4/29/11,2.3702,,0.837063013,153,0.419178082,5dryDIS,51,7
