SiteName,Site#_JS,Site#_CER,Plot#_JS,Habitat,TagID,Species,Set#,BagLocation,InitialWt_Air,SpConvFactor,InitialDeploy_Date,InitialWt_Oven,InitialNotes,HarvestNo,Harvest_Date,HarvestWt_Oven,HarvestNotes,PropInitMass,Days,Years,SitexHabitatxSp,ID_sihasp,ID
Lawrence Strip,4,5,9,dry,7488,AMY,1,3,3.024,0.956650246,11/27/10,2.893,,4,9/27/11,1.658,,0.573125262,304,0.832876712,5dryAMY,6,1
Lawrence Strip,4,5,9,dry,7486,AMY,1,3,3.031,0.956650246,11/27/10,2.9,,5,10/1/12,1.517,,0.523174366,674,1.846575342,5dryAMY,6,1
Lawrence Strip,4,5,9,dry,7487,AMY,1,3,3.019,0.956650246,11/27/10,2.888,,6,9/20/13,1.689,,0.584808059,1028,2.816438356,5dryAMY,6,1
Mari Hill,8,10,19&20,wet,7839,AMY,6,2,3.05,0.956650246,11/30/10,2.918,,1,4/29/11,2.2089,,0.757047323,150,0.410958904,10wetAMY,7,2
Mari Hill,8,10,19&20,wet,7844,AMY,6,2,3.064,0.956650246,11/30/10,2.931,,2,5/26/11,2.005,,0.684025714,177,0.484931507,10wetAMY,7,2
Mari Hill,8,10,19&20,wet,7843,AMY,6,2,3.03,0.956650246,11/30/10,2.899,,3,8/1/11,1.652,,0.569920432,244,0.668493151,10wetAMY,7,2
Mari Hill,8,10,19&20,wet,7840,AMY,6,2,3.04,0.956650246,11/30/10,2.908,,4,9/27/11,1.058,,0.363796818,301,0.824657534,10wetAMY,7,2
Mari Hill,8,10,19&20,wet,7842,AMY,6,2,3.043,0.956650246,11/30/10,2.911,,5,9/30/12,1.059,,0.363781677,670,1.835616438,10wetAMY,7,2
Mari Hill,8,10,19&20,wet,7841,AMY,6,2,3.004,0.956650246,11/30/10,2.874,,6,9/20/13,0.954,,0.331967264,1025,2.808219178,10wetAMY,7,2
S Peterson Marsh,1,1,1&2,wet,7857,AMY,9,8,3.012,0.956650246,11/27/10,2.881,,1,4/29/11,1.9436,,0.674526063,153,0.419178082,1wetAMY,8,2
S Peterson Marsh,1,1,1&2,wet,7858,AMY,9,8,3.056,0.956650246,11/27/10,2.924,,2,5/26/11,1.764,,0.603381573,180,0.493150685,1wetAMY,8,2
S Peterson Marsh,1,1,1&2,wet,7859,AMY,9,8,3.022,0.956650246,11/27/10,2.891,,3,8/3/11,1.383,,0.478381672,249,0.682191781,1wetAMY,8,2
S Peterson Marsh,1,1,1&2,wet,7860,AMY,9,8,3.005,0.956650246,11/27/10,2.875,,4,9/27/11,1.094,,0.38055695,304,0.832876712,1wetAMY,8,2
